Announced,Implemented,,Addition,Addition Ticker,Removal,Removal Ticker,Removal Type,Reason for Removal
9/25/2012,10/1/2012,After Close,Kraft Foods Group,KRFTV,Alpha Natural Resources,ANR,Failure,Market cap changes
10/1/2012,10/4/2012,After Close,"PetSmart, Inc.",PETM,Sunoco Inc.,SUN,M&A,Acquisition by Energy Transfer Partners
11/26/2012,11/30/2012,After Close,Dollar General,DG,Cooper Industries,CBE,M&A,Acquisition by Eaton Corp.
12/5/2012,12/11/2012,After Close,Garmin Ltd.,GRMN,R.R. Donnelley,RRD,Failure,Market cap changes
12/18/2012,12/21/2012,After Close,Delphi Automotive,DLPH,Titanium Metals,TIE,M&A,Acquisition by Precision Castparts
12/20/2012,12/31/2012,After Close,AbbVie Inc.,ABBV,Federated Investors Inc B,FII,Failure,Market cap changes
2/7/2013,2/15/2013,After Close,PVH Corp,PVH,Big Lots Inc,BIG,Failure,Market cap changes
4/24/2013,4/30/2013,After Close,Regeneron Pharmaceuticals Inc,REGN,Metropcs Communications Inc,PCS,M&A,Merger with T-Mobile USA
5/3/2013,5/8/2013,After Close,Macerich Co,MAC,Coventry Health Care Inc,CVH,M&A,Acquisition by Aetna
5/16/2013,5/23/2013,After Close,Kansas City Southern Inc,KSU,Dean Foods Co,DF,Other,Spins off WhiteWave
6/3/2013,6/6/2013,After Close,General Motors Company,GM,Heinz H.J. Co,HNZ,M&A,Taken private
6/14/2013,6/21/2013,After Close,Zoetis Inc,ZTS,First Horizon National Corp,FHN,Failure,Market cap changes
6/20/2013,6/28/2013,After Close,News Corporation Class A,NWSA,Apollo Group Inc,APOL,Failure,Market cap changes
7/1/2013,7/8/2013,After Close,Nielsen Holdings NV,NLSN,Sprint Nextel Corp,S,Other,Deal results in public float below threshold
9/7/2013,9/10/2013,After Close,Delta Air Lines,DAL,BMC Software Inc,BMC,M&A,Taken private
9/11/2013,9/20/2013,After Close,Vertex Pharmaceuticals Inc,VRTX,Advanced Micro Devices,AMD,Failure,Market cap changes
9/11/2013,9/20/2013,After Close,AMETEK Inc,AME,SAIC Inc,LDOS,Failure,Market cap changes
10/21/2013,10/28/2013,After Close,Transocean Ltd,RIG,"Dell, Inc.",DELL,M&A,Taken private
10/28/2013,11/1/2013,After Close,Michael Kors Holdings Ltd,KORS,NYSE Euronext,NYX,M&A,Acquisition by NYSE Euronext
11/22/2013,11/29/2013,After Close,Allegion plc,ALLE,Penney J.C. Inc,JCP,Failure,Market cap changes
12/4/2013,12/9/2013,After Close,General Growth Properties Inc,GGP,Molex Inc,MOLX,M&A,Taken private
12/11/2013,12/20/2013,After Close,Alliance Data Systems Corp,ADS,Abercrombie & Fitch Company,ANF,Failure,Market cap changes
12/11/2013,12/20/2013,After Close,Mohawk Industries Inc,MHK,JDS Uniphase Corp,JDSU,Failure,Market cap changes
12/11/2013,12/20/2013,After Close,Facebook Inc,FB,Teradyne Inc,TER,Failure,Market cap changes
1/16/2014,1/23/2014,After Close,Tractor Supply Company,TSCO,Life Technologies Corporation,LIFE,M&A,Acquired by Thermo Fisher Scientific
3/11/2014,4/3/2014,After Close,Google Inc. Class C,GOOGL,N/A,,N/A,N/A
3/14/2014,3/21/2014,After Close,"Keurig Green Mountain, Inc.",GMCR,"WPX Energy, Inc.",WPX,Failure,Market cap changes
3/26/2014,4/1/2014,After Close,"Essex Property Trust, Inc.",ESS,Cliffs Natural Resources Inc.,CLF,Failure,Market cap changes
4/24/2014,4/30/2014,After Close,"Under Armour, Inc.",UA,"Beam, Inc.",BEAM,M&A,Acquisition by Suntory Holdings
4/24/2014,4/30/2014,After Close,Navient Corp,NAVI,SLM Corp,SLM,Other,Splits up
5/5/2014,5/7/2014,After Close,Avago Technologies Limited,AVGO,LSI Corporation,LSI,M&A,Acquired by Avago Technologies
6/12/2014,6/20/2014,After Close,Cimarex Energy Co.,XEC,International Game Technology,IGT,Failure,Market cap changes
6/24/2014,6/30/2014,After Close,"Affiliated Managers Group, Inc.",AMG,"Forest Laboratories, Inc.",FRX,M&A,Acquisition by Actavis
6/27/2014,7/1/2014,After Close,"Martin Marietta Materials, Inc.",MLM,United States Steel Corporation,X,Failure,Market cap changes
7/30/2014,8/6/2014,After Close,"Discovery Communications, Class C",DISCK,N/A,,N/A,N/A
8/14/2014,8/18/2014,After Close,Mallinckrodt Plc,MNK,Rowan Cos. Plc,RDC,Other,Does not meet new market cap criteria
9/12/2014,9/19/2014,After Close,"United Rentals, Inc.",URI,Graham Holdings Co.,GHC,Other,Does not meet new market cap criteria
9/12/2014,9/19/2014,After Close,"Universal Health Services, Class B",UHS,Peabody Energy Corporation,BTU,Failure,Market cap changes
10/29/2014,11/4/2014,After Close,"Level 3 Communications, Inc.",LVLT,"Jabil Circuit, Inc.",JBL,Other,Does not meet new market cap criteria
12/1/2014,12/4/2014,After Close,Royal Caribbean Cruises Ltd.,RCL,"Bemis Company, Inc.",BMS,Other,Does not meet new market cap criteria
1/21/2015,1/26/2015,After Close,Endo International Plc,ENDP,Covidien Plc,COV,M&A,Acquisition by Medtronic
1/23/2015,1/26/2015,After Close,"HCA Holdings, Inc.",HCA,Safeway Inc.,SWY,M&A,Taken private
3/9/2015,3/11/2015,After Close,"Skyworks Solutions, Inc.",SWKS,"PetSmart, Inc.",PETM,M&A,Taken private
3/13/2015,3/20/2015,After Close,SL Green Realty Corp.,SLG,Nabors Industries Ltd.,NBR,Failure,Market cap changes
3/13/2015,3/20/2015,After Close,Hanesbrands Inc.,HBI,"Avon Products, Inc.",AVP,Failure,Market cap changes
3/13/2015,3/20/2015,After Close,Equinix Inc,EQIX,Denbury Resources Inc.,DNR,Failure,Market cap changes
3/13/2015,3/17/2015,After Close,"Henry Schein, Inc.",HSIC,CareFusion Corporation,CFN,M&A,"Acquisition by Becton, Dickinson and Company"
3/17/2015,3/20/2015,After Close,"American Airlines Group, Inc.",AAL,"Allergan, Inc.",AGN,M&A,Acquisition by Actavis
3/27/2015,4/6/2015,After Close,Realty Income Corporation,O,"Windstream Holdings, Inc.",WIN,Other,Spins off assets
6/9/2015,6/11/2015,After Close,"Qorvo, Inc.",QRVO,"Lorillard, Inc.",LO,M&A,Acquisition by Reynolds American
6/19/2015,6/30/2015,After Close,"Baxalta, Inc.",BXLT,"QEP Resources, Inc.",QEP,Failure,Market cap changes
6/19/2015,6/19/2015,After Close,WestRock Co.,WRK,MeadWestvaco Corporation,MWV,Other,Merger with Rock-Tenn creates WestRock Co.
6/23/2015,7/1/2015,After Close,Columbia Pipeline Group Inc,CPGX,Allegheny Technologies Incorporated,ATI,Failure,Market cap changes
6/26/2015,6/30/2015,After Close,"J.B. Hunt Transport Services, Inc.",JBHT,"Integrys Energy Group, Inc.",TEG,M&A,Acquisition by Wisconsin Energy Corp.
7/6/2015,7/8/2015,After Close,"Advance Auto Parts, Inc.",AAP,"Family Dollar Stores, Inc.",FDO,M&A,Acquisition by Dollar Tree
7/14/2015,7/17/2015,After Close,PayPal Holdings Inc,PYPL,Noble Corporation plc,NE,Failure,Market cap changes
7/24/2015,7/28/2015,After Close,Signet Jewelers Limited,SIG,DIRECTV,DTV,M&A,Acquisition by AT&T
