Announced,Implemented,,Addition,Addition Ticker,Removal,Removal Ticker,Removal Type,Reason for Removal
12/28/2017,01/03/2018,Before Open,Huntington Ingalls Industries Inc.,HII,C. R. Bard Inc.,BCR,M&A,"Acquisition by Becton, Dickinson and Co."
03/02/2018,03/07/2018,Before Open,IPG Photonics Corp.,IPGP,Scripps Networks Interactive Inc.,SNI,M&A,Acquisition by Discovery Communications Inc.
03/09/2018,03/19/2018,Before Open,Take-Two Interactive Software,TTWO,Signet Jewelers,SIG,Failure,Market cap changes
03/09/2018,03/19/2018,Before Open,SVB Financial Group,SIVB,Patterson Companies,PDCO,Failure,Market cap changes
03/09/2018,03/19/2018,Before Open,Nektar Therapeutics,NKTR,Chesapeake Energy,CHK,Failure,Market cap changes
03/28/2018,04/04/2018,Before Open,MSCI Inc.,MSCI,CSRA Inc.,CSRA,M&A,Acquisition by General Dynamics Corp.
05/25/2018,05/31/2018,Before Open,ABIOMED Inc.,ABMD,Wyndham Worldwide Corp.,WYN,Other,Spins off Wyndham Hotels & Resorts Inc.
05/31/2018,06/05/2018,Before Open,Evergy,EVRG,Navient Corp.,NAVI,Failure,Market cap changes
06/04/2018,06/07/2018,Before Open,Twitter Inc.,TWTR,Monsanto Company,MON,M&A,"Acquisition by Bayer Aktiengesellschaft, resulting in foreign domicile"
06/08/2018,06/18/2018,Before Open,HollyFrontier Corp.,HFC,Acuity Brands Inc.,AYI,Failure,Market cap changes
06/08/2018,06/18/2018,Before Open,Broadridge Financial Solutions Inc.,BR,Range Resources Corp.,RRC,Failure,Market cap changes
06/15/2018,06/20/2018,Before Open,FleetCor Technologies Inc.,FLT,Time Warner Inc.,TWX,M&A,Acquisition by AT&T Inc.
06/25/2018,07/02/2018,Before Open,Copart Inc.,CPRT,Dr Pepper Snapple Group Inc.,DPS,M&A,"Acquisition by Keurig Green Mountain Inc., results in Investable Weight Factor below eligibility threshold"
08/23/2018,08/28/2018,Before Open,Arista Networks Inc.,ANET,GGP Inc.,GGP,M&A,"Acquisition by Brookfield Property Partners LP, resulting in foreign domicile"
09/11/2018,09/17/2018,Before Open,"WellCare Health Plans, Inc.",WCG,XL Group,XL,M&A,"Acquisition by AXA SA, resulting in foreign domicile"
09/25/2018,10/01/2018,Before Open,Rollins Inc.,ROL,Andeavor,ANDV,M&A,Acquisition by Marathon Petroleum Corp.
10/04/2018,10/11/2018,Before Open,Fortinet Inc.,FTNT,Envision Healthcare Corp.,EVHC,M&A,Acquisition by KKR & Co. Inc.
10/30/2018,11/06/2018,Before Open,Keysight Technologies Inc.,KEYS,CA Inc.,CA,M&A,Acquisition by Broadcom Inc.
11/07/2018,11/13/2018,Before Open,Jack Henry & Associates Inc.,JKHY,EQT Corp.,EQT,Other,Spins off Equitrans Midstream
11/26/2018,12/03/2018,Before Open,Lamb Weston Holdings Inc.,LW,Rockwell Collins Inc.,COL,M&A,Acquisition by United Technologies Corp.
11/26/2018,12/03/2018,Before Open,Maxim Integrated Products Inc.,MXIM,Aetna Inc.,AET,M&A,Acquisition by CVS Health Corp.
11/26/2018,12/03/2018,Before Open,Diamondback Energy Inc.,FANG,Stericycle Inc.,SRCL,Failure,Market cap changes
12/19/2018,12/24/2018,Before Open,Celanese Corp.,CE,Express Scripts Holding Co.,ESRX,M&A,Acquisition by Cigna Corp.
12/27/2018,01/02/2019,Before Open,First Republic Bank,FRC,SCANA Corporation,SCG,M&A,Acquisition by Dominion Energy
01/15/2019,01/18/2019,Before Open,Teleflex Inc.,TFX,PG&E Corp.,PCG,Failure,Bankruptcy
02/08/2019,02/15/2019,Before Open,Atmos Energy Corp.,ATO,Newfield Exploration Co.,NFX,M&A,"Acquisition by EnCana Corp., resulting in foreign domicile"
02/21/2019,02/27/2019,Before Open,Wabtec Corp.,WAB,The Goodyear Tire & Rubber Co.,GT,Failure,Market cap changes
03/26/2019,04/02/2019,Before Open,Dow Inc.,DOW,Brighthouse Financial Inc.,BHF,Failure,Market cap changes
